"Species"	"GeneID"	"PrimaryTissue"	"tau"
"Danio_rerio"	"ENSDARG00000002507"	"pectoral_fin"	0.644945708929044
"Danio_rerio"	"ENSDARG00000002508"	"eye"	0.901358254434153
"Danio_rerio"	"ENSDARG00000002509"	"pectoral_fin"	0.531442180764094
"Danio_rerio"	"ENSDARG00000002510"	"testis"	0.972948107513195
"Danio_rerio"	"ENSDARG00000002523"	"liver"	0.245309735637031
"Danio_rerio"	"ENSDARG00000002536"	"ovary"	0.22872476501009
"Danio_rerio"	"ENSDARG00000002538"	"ovary"	0.213116340686807
"Danio_rerio"	"ENSDARG00000002546"	"brain"	0.651907964409779
"Danio_rerio"	"ENSDARG00000002549"	"testis"	0.285411711219229
"Danio_rerio"	"ENSDARG00000002552"	"muscle"	0.165043404660725
"Danio_rerio"	"ENSDARG00000002564"	"brain"	0.692832163691523
"Danio_rerio"	"ENSDARG00000002571"	"ovary"	0.523902425222413
"Danio_rerio"	"ENSDARG00000002576"	"eye"	0.722296628374819
"Danio_rerio"	"ENSDARG00000002582"	"pectoral_fin"	0.654374125118418
"Danio_rerio"	"ENSDARG00000002587"	"brain"	0.372874116184637
"Danio_rerio"	"ENSDARG00000002589"	"testis"	0.747399325334357
"Danio_rerio"	"ENSDARG00000002591"	"testis"	0.314692142095635
"Danio_rerio"	"ENSDARG00000002593"	"eye"	0.852095553475384
"Danio_rerio"	"ENSDARG00000002597"	"ovary"	0.712948720173396
"Danio_rerio"	"ENSDARG00000002601"	"eye"	0.879281957164014
"Danio_rerio"	"ENSDARG00000002607"	"testis"	0.635064915034643
"Danio_rerio"	"ENSDARG00000002609"	"eye"	0.448470169194635
"Danio_rerio"	"ENSDARG00000002613"	"ovary"	0.453582038013673
"Danio_rerio"	"ENSDARG00000002632"	"pectoral_fin"	0.127609414373702
"Danio_rerio"	"ENSDARG00000002635"	"brain"	0.601502405185889
"Danio_rerio"	"ENSDARG00000002642"	"testis"	0.550736106527496
"Danio_rerio"	"ENSDARG00000002644"	"heart"	0.348127464602182
"Danio_rerio"	"ENSDARG00000002656"	"brain"	0.629962046557192
"Danio_rerio"	"ENSDARG00000002659"	"testis"	0.167067035178867
"Danio_rerio"	"ENSDARG00000002663"	"intestine"	0.257641288576118
"Danio_rerio"	"ENSDARG00000002666"	"eye"	0.549202857530432
"Danio_rerio"	"ENSDARG00000002670"	"testis"	0.541164826174211
"Danio_rerio"	"ENSDARG00000002682"	"intestine"	0.375063693455911
"Danio_rerio"	"ENSDARG00000002685"	"ovary"	0.818999816192565
"Danio_rerio"	"ENSDARG00000002690"	"testis"	0.409596774925874
"Danio_rerio"	"ENSDARG00000002696"	"eye"	0.626925971810982
"Danio_rerio"	"ENSDARG00000002701"	"eye"	0.424385916017848
"Danio_rerio"	"ENSDARG00000002707"	"ovary"	0.778691639042334
"Danio_rerio"	"ENSDARG00000002710"	"ovary"	0.126511425990615
"Danio_rerio"	"ENSDARG00000002720"	"ovary"	0.396288983768228
"Danio_rerio"	"ENSDARG00000002731"	"liver"	0.451552254700428
"Danio_rerio"	"ENSDARG00000002732"	"pectoral_fin"	0.486743909344174
"Danio_rerio"	"ENSDARG00000002745"	"liver"	0.13783993089589
"Danio_rerio"	"ENSDARG00000002748"	"testis"	0.430651546650831
"Danio_rerio"	"ENSDARG00000002750"	"eye"	0.436052757414767
"Danio_rerio"	"ENSDARG00000002754"	"ovary"	0.337348542892981
"Danio_rerio"	"ENSDARG00000002758"	"testis"	0.203026501361557
"Danio_rerio"	"ENSDARG00000002760"	"ovary"	0.939593571455004
"Danio_rerio"	"ENSDARG00000002764"	"liver"	0.93561188779691
"Danio_rerio"	"ENSDARG00000002768"	"muscle"	0.566167947856131
"Danio_rerio"	"ENSDARG00000002771"	"eye"	0.838069440392356
"Danio_rerio"	"ENSDARG00000002779"	"intestine"	0.578324377488292
"Danio_rerio"	"ENSDARG00000002787"	"ovary"	0.244844213803786
"Danio_rerio"	"ENSDARG00000002790"	"brain"	0.111661539167871
"Danio_rerio"	"ENSDARG00000002791"	"intestine"	0.226741366765059
"Danio_rerio"	"ENSDARG00000002792"	"ovary"	0.18681383811753
"Danio_rerio"	"ENSDARG00000002795"	"brain"	0.781246115408778
"Danio_rerio"	"ENSDARG00000002798"	"ovary"	0.381525593034518
"Danio_rerio"	"ENSDARG00000002816"	"testis"	0.754401050624656
"Danio_rerio"	"ENSDARG00000002826"	"ovary"	0.604140616235568
"Danio_rerio"	"ENSDARG00000002830"	"ovary"	0.365248420005947
"Danio_rerio"	"ENSDARG00000002831"	"gills"	0.811809701672527
"Danio_rerio"	"ENSDARG00000002840"	"brain"	0.407406054922476
"Danio_rerio"	"ENSDARG00000002847"	"muscle"	0.601634554285494
"Danio_rerio"	"ENSDARG00000002872"	"testis"	0.547307650826499
"Danio_rerio"	"ENSDARG00000002877"	"ovary"	0.13199493392737
"Danio_rerio"	"ENSDARG00000002880"	"ovary"	0.73848575460719
"Danio_rerio"	"ENSDARG00000002894"	"muscle"	0.339559118936137
"Danio_rerio"	"ENSDARG00000002897"	"liver"	0.226572124968425
"Danio_rerio"	"ENSDARG00000002909"	"ovary"	0.356867948233432
"Danio_rerio"	"ENSDARG00000002912"	"ovary"	0.277137566991049
"Danio_rerio"	"ENSDARG00000002916"	"ovary"	0.596128378800745
"Danio_rerio"	"ENSDARG00000002917"	"heart"	0.821023463246845
"Danio_rerio"	"ENSDARG00000002933"	"eye"	0.834330137117725
"Danio_rerio"	"ENSDARG00000002937"	"testis"	0.531568386518389
"Danio_rerio"	"ENSDARG00000002945"	"eye"	0.519377365920377
"Danio_rerio"	"ENSDARG00000002947"	"testis"	0.370767971211058
"Danio_rerio"	"ENSDARG00000002949"	"testis"	0.178581452167241
"Danio_rerio"	"ENSDARG00000002952"	"gills"	0.367814102555656
"Danio_rerio"	"ENSDARG00000002956"	"muscle"	0.615449076209507
"Danio_rerio"	"ENSDARG00000002959"	"gills"	0.811968544123678
"Danio_rerio"	"ENSDARG00000002967"	"muscle"	0.199281662509202
"Danio_rerio"	"ENSDARG00000002968"	"liver"	0.864751102870562
"Danio_rerio"	"ENSDARG00000002970"	"testis"	0.221265249834328
"Danio_rerio"	"ENSDARG00000002971"	"ovary"	0.355088491332439
"Danio_rerio"	"ENSDARG00000002986"	"liver"	0.673905497485289
"Danio_rerio"	"ENSDARG00000002988"	"muscle"	0.786152559655029
"Danio_rerio"	"ENSDARG00000002991"	"testis"	0.523617659566862
"Danio_rerio"	"ENSDARG00000002994"	"ovary"	0.303612715113327
"Danio_rerio"	"ENSDARG00000003008"	"brain"	0.51154549991676
"Danio_rerio"	"ENSDARG00000003017"	"ovary"	0.171849420711642
"Danio_rerio"	"ENSDARG00000003020"	"brain"	0.961600536944169
"Danio_rerio"	"ENSDARG00000003021"	"testis"	0.489950915237567
"Danio_rerio"	"ENSDARG00000003027"	"ovary"	0.554499170901335
"Danio_rerio"	"ENSDARG00000003032"	"liver"	0.164007488597211
"Danio_rerio"	"ENSDARG00000003035"	"liver"	0.107565561261495
"Danio_rerio"	"ENSDARG00000003046"	"heart"	0.859443446601118
"Danio_rerio"	"ENSDARG00000003054"	"testis"	0.830306454473842
"Danio_rerio"	"ENSDARG00000003058"	"testis"	0.316208155691407
"Danio_rerio"	"ENSDARG00000003061"	"testis"	0.412502552304514
"Danio_rerio"	"ENSDARG00000003068"	"eye"	0.324825778686605
"Danio_rerio"	"ENSDARG00000003069"	"ovary"	0.74405294631898
"Danio_rerio"	"ENSDARG00000003077"	"eye"	0.922078472418597
"Danio_rerio"	"ENSDARG00000003081"	"muscle"	0.713862396833103
"Danio_rerio"	"ENSDARG00000003084"	"ovary"	0.843057143004033
"Danio_rerio"	"ENSDARG00000003085"	"brain"	0.622242020500728
"Danio_rerio"	"ENSDARG00000003087"	"ovary"	0.431270459193546
"Danio_rerio"	"ENSDARG00000003091"	"gills"	0.55524715937965
"Danio_rerio"	"ENSDARG00000003098"	"gills"	0.119170875109001
"Danio_rerio"	"ENSDARG00000003109"	"muscle"	0.242154108348481
"Danio_rerio"	"ENSDARG00000003113"	"intestine"	0.447238661497774
"Danio_rerio"	"ENSDARG00000003127"	"testis"	0.150934031985417
"Danio_rerio"	"ENSDARG00000003132"	"ovary"	0.238726885457192
"Danio_rerio"	"ENSDARG00000003142"	"brain"	0.40049441717204
"Danio_rerio"	"ENSDARG00000003144"	"liver"	0.574637436246005
"Danio_rerio"	"ENSDARG00000003146"	"brain"	0.996099849152915
"Danio_rerio"	"ENSDARG00000003151"	"heart"	0.0747519153856881
"Danio_rerio"	"ENSDARG00000003153"	"ovary"	0.238265653954643
"Danio_rerio"	"ENSDARG00000003157"	"muscle"	0.336811852993973
"Danio_rerio"	"ENSDARG00000003165"	"eye"	0.435805165231706
"Danio_rerio"	"ENSDARG00000003167"	"testis"	0.170506500369118
"Danio_rerio"	"ENSDARG00000003169"	"brain"	0.408711183429825
"Danio_rerio"	"ENSDARG00000003175"	"liver"	0.212355482419351
"Danio_rerio"	"ENSDARG00000003181"	"liver"	0.816187681164816
"Danio_rerio"	"ENSDARG00000003189"	"testis"	0.127930520335477
"Danio_rerio"	"ENSDARG00000003193"	"gills"	0.451127881552386
"Danio_rerio"	"ENSDARG00000003200"	"testis"	0.717689013054263
"Danio_rerio"	"ENSDARG00000003203"	"gills"	0.64693098103779
"Danio_rerio"	"ENSDARG00000003205"	"ovary"	0.160085798051709
"Danio_rerio"	"ENSDARG00000003206"	"heart"	0.180327329164123
"Danio_rerio"	"ENSDARG00000003207"	"ovary"	0.466354723368473
"Danio_rerio"	"ENSDARG00000003208"	"ovary"	0.189769066398524
"Danio_rerio"	"ENSDARG00000003213"	"ovary"	0.184334002598354
"Danio_rerio"	"ENSDARG00000003216"	"heart"	0.246056996203957
"Danio_rerio"	"ENSDARG00000003217"	"ovary"	0.399202518995594
"Danio_rerio"	"ENSDARG00000003219"	"intestine"	0.776351892475635
"Danio_rerio"	"ENSDARG00000003229"	"ovary"	0.858397921213724
"Danio_rerio"	"ENSDARG00000003235"	"testis"	0.2340504155946
"Danio_rerio"	"ENSDARG00000003244"	"ovary"	0.503489186739128
"Danio_rerio"	"ENSDARG00000003250"	"brain"	0.508533170737778
"Danio_rerio"	"ENSDARG00000003251"	"ovary"	0.874227480801277
"Danio_rerio"	"ENSDARG00000003257"	"brain"	0.368759433181765
"Danio_rerio"	"ENSDARG00000003259"	"muscle"	0.530735825917627
"Danio_rerio"	"ENSDARG00000003269"	"brain"	0.215966329056565
"Danio_rerio"	"ENSDARG00000003270"	"testis"	0.217529711532839
"Danio_rerio"	"ENSDARG00000003281"	"heart"	0.246882102068107
