"VarCategory"	"GOBPID"	"Term"	"MeanPvalue"	"NConditions"	"EnrichmentTest"	"TestDirection"
"LV"	"GO:0006508"	"proteolysis"	0.0034686941755359	2	"GOStats"	"enrichment"
"LV"	"GO:0006511"	"ubiquitin-dependent protein catabolic process"	0.00243320500015386	4	"GOStats"	"enrichment"
"LV"	"GO:0006518"	"peptide metabolic process"	0.00516504903158755	2	"GOStats"	"enrichment"
"LV"	"GO:0006606"	"protein import into nucleus"	0.00101050743854549	1	"GOStats"	"enrichment"
"LV"	"GO:0006611"	"protein export from nucleus"	0.00123490321152228	1	"GOStats"	"enrichment"
"LV"	"GO:0006612"	"protein targeting to membrane"	0.0037937682819245	1	"GOStats"	"enrichment"
"LV"	"GO:0006644"	"phospholipid metabolic process"	0.00584536104273912	1	"GOStats"	"enrichment"
"LV"	"GO:0006664"	"glycolipid metabolic process"	0.00263320133390184	2	"GOStats"	"enrichment"
"LV"	"GO:0006670"	"sphingosine metabolic process"	0.00475293241296784	2	"GOStats"	"enrichment"
"LV"	"GO:0006725"	"cellular aromatic compound metabolic process"	0.000215718319786934	3	"GOStats"	"enrichment"
"LV"	"GO:0006739"	"NADP metabolic process"	0.00189434059552343	1	"GOStats"	"enrichment"
"LV"	"GO:0006807"	"nitrogen compound metabolic process"	0.0043363578905588	6	"GOStats"	"enrichment"
"LV"	"GO:0006810"	"transport"	0.00386923000803087	1	"GOStats"	"enrichment"
"LV"	"GO:0006820"	"anion transport"	0.00178202011713746	1	"GOStats"	"enrichment"
"LV"	"GO:0006836"	"neurotransmitter transport"	0.00299990855566833	1	"GOStats"	"enrichment"
"LV"	"GO:0006878"	"cellular copper ion homeostasis"	0.00588955013629587	2	"GOStats"	"enrichment"
"LV"	"GO:0006886"	"intracellular protein transport"	0.00406807432048215	6	"GOStats"	"enrichment"
"LV"	"GO:0006887"	"exocytosis"	0.00794338637882188	2	"GOStats"	"enrichment"
"LV"	"GO:0006888"	"endoplasmic reticulum to Golgi vesicle-mediated transport"	0.00239447544312974	2	"GOStats"	"enrichment"
