Gene name	Gene stable ID	Gene type
5S_rRNA	ENSELUG00000025453	rRNA
trappc8	ENSELUG00000002149	protein_coding
	ENSELUG00000001599	protein_coding
5S_rRNA	ENSELUG00000025929	rRNA
	ENSELUG00000022161	protein_coding
	ENSELUG00000032541	protein_coding
5S_rRNA	ENSELUG00000025249	rRNA
	ENSELUG00000021713	protein_coding
	ENSELUG00000031259	protein_coding
	ENSELUG00000029138	protein_coding
5S_rRNA	ENSELUG00000034493	rRNA
5S_rRNA	ENSELUG00000027144	rRNA
	ENSELUG00000001138	protein_coding
otol1a	ENSELUG00000021696	protein_coding
5S_rRNA	ENSELUG00000029666	rRNA
	ENSELUG00000027371	protein_coding
P2RY13	ENSELUG00000009855	protein_coding
MINAR1	ENSELUG00000024388	protein_coding
5S_rRNA	ENSELUG00000025831	rRNA
	ENSELUG00000027249	protein_coding
	ENSELUG00000025019	lncRNA
	ENSELUG00000010949	protein_coding
	ENSELUG00000021689	protein_coding
5S_rRNA	ENSELUG00000028046	rRNA
	ENSELUG00000014133	protein_coding
	ENSELUG00000009361	protein_coding
	ENSELUG00000010490	protein_coding
p2ry12	ENSELUG00000009842	protein_coding
mthfs	ENSELUG00000024394	protein_coding
5S_rRNA	ENSELUG00000031332	rRNA
slc7a6	ENSELUG00000020394	protein_coding
rnf13	ENSELUG00000005076	protein_coding
	ENSELUG00000032290	protein_coding
f8	ENSELUG00000005809	protein_coding
5S_rRNA	ENSELUG00000029476	rRNA
ppm1la	ENSELUG00000021679	protein_coding
	ENSELUG00000033246	lncRNA
nfkb1	ENSELUG00000004493	protein_coding
5S_rRNA	ENSELUG00000033007	rRNA
klf2b	ENSELUG00000014262	protein_coding
5S_rRNA	ENSELUG00000027207	rRNA
	ENSELUG00000014091	protein_coding
ZFAND6	ENSELUG00000024431	protein_coding
	ENSELUG00000029125	protein_coding
	ENSELUG00000009827	protein_coding
	ENSELUG00000025061	protein_coding
pts	ENSELUG00000021740	protein_coding
	ENSELUG00000031677	protein_coding
	ENSELUG00000026563	protein_coding
5S_rRNA	ENSELUG00000032989	rRNA
rnf40	ENSELUG00000010378	protein_coding
	ENSELUG00000021657	protein_coding
	ENSELUG00000025865	lncRNA
	ENSELUG00000033558	lncRNA
5S_rRNA	ENSELUG00000033186	rRNA
	ENSELUG00000014163	protein_coding
	ENSELUG00000019362	protein_coding
	ENSELUG00000029250	lncRNA
	ENSELUG00000010638	protein_coding
5S_rRNA	ENSELUG00000025834	rRNA
	ENSELUG00000001101	protein_coding
	ENSELUG00000027549	lncRNA
	ENSELUG00000009788	protein_coding
zp3b	ENSELUG00000021647	protein_coding
5S_rRNA	ENSELUG00000032655	rRNA
	ENSELUG00000030616	lncRNA
	ENSELUG00000026372	protein_coding
tm9sf3	ENSELUG00000019970	protein_coding
5S_rRNA	ENSELUG00000027902	rRNA
	ENSELUG00000007035	protein_coding
	ENSELUG00000026684	protein_coding
5S_rRNA	ENSELUG00000024653	rRNA
zmp:0000001127	ENSELUG00000021639	protein_coding
	ENSELUG00000021603	protein_coding
	ENSELUG00000031000	protein_coding
5S_rRNA	ENSELUG00000034659	rRNA
fkrp	ENSELUG00000001171	protein_coding
	ENSELUG00000030284	lncRNA
mgat4b	ENSELUG00000021707	protein_coding
5S_rRNA	ENSELUG00000033592	rRNA
	ENSELUG00000000246	protein_coding
p2ry13	ENSELUG00000009764	protein_coding
	ENSELUG00000033001	protein_coding
	ENSELUG00000014420	protein_coding
5S_rRNA	ENSELUG00000028299	rRNA
ntpcr	ENSELUG00000019163	protein_coding
zgc:153615	ENSELUG00000021618	protein_coding
	ENSELUG00000007051	protein_coding
5S_rRNA	ENSELUG00000031055	rRNA
ANKUB1	ENSELUG00000005022	protein_coding
neu4	ENSELUG00000009762	protein_coding
gsg1l2b	ENSELUG00000026219	protein_coding
5S_rRNA	ENSELUG00000031628	rRNA
	ENSELUG00000034336	protein_coding
	ENSELUG00000007057	protein_coding
	ENSELUG00000021606	protein_coding
5S_rRNA	ENSELUG00000030923	rRNA
wdr53	ENSELUG00000009750	protein_coding
5S_rRNA	ENSELUG00000033702	rRNA
sema4ga	ENSELUG00000022195	protein_coding
ppp1r2	ENSELUG00000028389	protein_coding
hs3st3l	ENSELUG00000021570	protein_coding
bace2	ENSELUG00000018655	protein_coding
	ENSELUG00000014176	protein_coding
	ENSELUG00000001583	protein_coding
5S_rRNA	ENSELUG00000030367	rRNA
srprb	ENSELUG00000009740	protein_coding
5S_rRNA	ENSELUG00000032906	rRNA
selenot1a	ENSELUG00000021595	protein_coding
cxcr4a	ENSELUG00000005087	protein_coding
5S_rRNA	ENSELUG00000026159	rRNA
	ENSELUG00000014224	protein_coding
	ENSELUG00000031240	protein_coding
5S_rRNA	ENSELUG00000030431	rRNA
trpm1a	ENSELUG00000016944	protein_coding
5S_rRNA	ENSELUG00000031696	rRNA
DGKQ	ENSELUG00000004386	protein_coding
abhd4	ENSELUG00000005077	protein_coding
	ENSELUG00000014261	protein_coding
5S_rRNA	ENSELUG00000030243	rRNA
COL26A1	ENSELUG00000009723	protein_coding
fah	ENSELUG00000024514	protein_coding
5S_rRNA	ENSELUG00000024900	rRNA
serp1	ENSELUG00000021578	protein_coding
dhrs7cb	ENSELUG00000021537	protein_coding
mrps6	ENSELUG00000015914	protein_coding
pax3a	ENSELUG00000007240	protein_coding
5S_rRNA	ENSELUG00000028270	rRNA
	ENSELUG00000014338	protein_coding
5S_rRNA	ENSELUG00000031128	rRNA
	ENSELUG00000026960	protein_coding
5S_rRNA	ENSELUG00000025570	rRNA
ubr2	ENSELUG00000016522	protein_coding
	ENSELUG00000027160	protein_coding
5S_rRNA	ENSELUG00000029531	rRNA
FUT4	ENSELUG00000009699	protein_coding
EPS15L1	ENSELUG00000014207	protein_coding
nolc1	ENSELUG00000015896	protein_coding
	ENSELUG00000019395	protein_coding
5S_rRNA	ENSELUG00000028093	rRNA
	ENSELUG00000014296	protein_coding
	ENSELUG00000019104	protein_coding
5S_rRNA	ENSELUG00000031345	rRNA
lzts2a	ENSELUG00000022213	protein_coding
	ENSELUG00000014196	protein_coding
	ENSELUG00000000834	protein_coding
5S_rRNA	ENSELUG00000030344	rRNA
5S_rRNA	ENSELUG00000025898	rRNA
pcyt1aa	ENSELUG00000021543	protein_coding
	ENSELUG00000034464	lncRNA
5S_rRNA	ENSELUG00000032066	rRNA
5S_rRNA	ENSELUG00000033169	rRNA
	ENSELUG00000000141	protein_coding
	ENSELUG00000014392	protein_coding
arhgap19	ENSELUG00000019458	protein_coding
	ENSELUG00000029800	lncRNA
	ENSELUG00000027099	protein_coding
SIPA1L2	ENSELUG00000019072	protein_coding
	ENSELUG00000014310	protein_coding
	ENSELUG00000007316	protein_coding
	ENSELUG00000028585	lncRNA
	ENSELUG00000015817	protein_coding
ssx2ipa	ENSELUG00000024281	protein_coding
pdzd7a	ENSELUG00000022229	protein_coding
	ENSELUG00000014356	protein_coding
	ENSELUG00000009116	protein_coding
foxd3	ENSELUG00000022126	protein_coding
	ENSELUG00000004294	protein_coding
	ENSELUG00000033698	lncRNA
	ENSELUG00000014249	protein_coding
	ENSELUG00000022104	protein_coding
	ENSELUG00000005800	protein_coding
dnajb1b	ENSELUG00000014445	protein_coding
gng5	ENSELUG00000024260	protein_coding
aup1	ENSELUG00000004256	protein_coding
rem2	ENSELUG00000005002	protein_coding
	ENSELUG00000032547	protein_coding
ap2m1a	ENSELUG00000021515	protein_coding
	ENSELUG00000000164	protein_coding
atg4c	ENSELUG00000022092	protein_coding
nploc4	ENSELUG00000010713	protein_coding
dscamb	ENSELUG00000018635	protein_coding
trmt12	ENSELUG00000028601	protein_coding
sfxn3	ENSELUG00000022252	protein_coding
samd13	ENSELUG00000024271	protein_coding
strn4	ENSELUG00000013635	protein_coding
fam171a2b	ENSELUG00000005670	protein_coding
fuz	ENSELUG00000024254	protein_coding
	ENSELUG00000029047	protein_coding
sqstm1	ENSELUG00000021590	protein_coding
sytl4	ENSELUG00000004207	protein_coding
	ENSELUG00000015782	protein_coding
	ENSELUG00000006403	protein_coding
	ENSELUG00000026382	protein_coding
cux1b	ENSELUG00000009668	protein_coding
	ENSELUG00000009988	protein_coding
tecrb	ENSELUG00000014498	protein_coding
zdhhc6	ENSELUG00000005659	protein_coding
fat2	ENSELUG00000022305	protein_coding
disc1	ENSELUG00000018993	protein_coding
syn2b	ENSELUG00000013135	protein_coding
	ENSELUG00000015865	protein_coding
acsl3b	ENSELUG00000007367	protein_coding
	ENSELUG00000022335	protein_coding
cabp5a	ENSELUG00000022390	protein_coding
srpx2	ENSELUG00000004167	protein_coding
rfx2	ENSELUG00000014877	protein_coding
	ENSELUG00000030692	protein_coding
tsnax	ENSELUG00000018955	protein_coding
nif3l1	ENSELUG00000022359	protein_coding
	ENSELUG00000030324	protein_coding
dvl3a	ENSELUG00000021493	protein_coding
	ENSELUG00000024562	protein_coding
	ENSELUG00000030189	protein_coding
calr3b	ENSELUG00000014098	protein_coding
	ENSELUG00000027308	protein_coding
fpgt	ENSELUG00000015695	protein_coding
jak3	ENSELUG00000024624	protein_coding
egln1a	ENSELUG00000018900	protein_coding
mat1a	ENSELUG00000022377	protein_coding
tbx6	ENSELUG00000022346	protein_coding
	ENSELUG00000015745	protein_coding
tspan6	ENSELUG00000004148	protein_coding
gpt2l	ENSELUG00000024247	protein_coding
GPR137B	ENSELUG00000018879	protein_coding
mid1ip1l	ENSELUG00000004126	protein_coding
defbl3	ENSELUG00000016859	protein_coding
zgc:92040	ENSELUG00000022325	protein_coding
rx2	ENSELUG00000014048	protein_coding
ndufb7	ENSELUG00000014532	protein_coding
bcorl1	ENSELUG00000025071	protein_coding
	ENSELUG00000002121	protein_coding
clcn2a	ENSELUG00000006374	protein_coding
acot11b	ENSELUG00000015631	protein_coding
cplx4c	ENSELUG00000014015	protein_coding
	ENSELUG00000005051	protein_coding
carmil3	ENSELUG00000004977	protein_coding
spcs2	ENSELUG00000016836	protein_coding
atcayb	ENSELUG00000013996	protein_coding
micu1	ENSELUG00000015709	protein_coding
prss16	ENSELUG00000015027	protein_coding
	ENSELUG00000013939	protein_coding
	ENSELUG00000016815	protein_coding
acap2	ENSELUG00000004971	protein_coding
mprip	ENSELUG00000021495	protein_coding
gbe1b	ENSELUG00000024629	protein_coding
	ENSELUG00000001239	pseudogene
	ENSELUG00000028296	protein_coding
	ENSELUG00000006827	protein_coding
mep1b	ENSELUG00000000058	protein_coding
loxl5b	ENSELUG00000013872	protein_coding
	ENSELUG00000005037	protein_coding
	ENSELUG00000004079	protein_coding
arnt2	ENSELUG00000024606	protein_coding
NELL1	ENSELUG00000033709	protein_coding
	ENSELUG00000025419	miRNA
mcu	ENSELUG00000015640	protein_coding
gria4a	ENSELUG00000012003	protein_coding
	ENSELUG00000029351	protein_coding
	ENSELUG00000026604	miRNA
NELL1	ENSELUG00000033782	protein_coding
zgc:154058	ENSELUG00000022409	protein_coding
tbc1d9	ENSELUG00000021561	protein_coding
PGM1	ENSELUG00000001277	protein_coding
lyn	ENSELUG00000012494	protein_coding
	ENSELUG00000025500	protein_coding
	ENSELUG00000022418	protein_coding
oit3	ENSELUG00000015597	protein_coding
si:ch211-198a12.6	ENSELUG00000022430	protein_coding
zgc:136908	ENSELUG00000014579	protein_coding
stox1	ENSELUG00000022439	protein_coding
serpine2	ENSELUG00000015004	protein_coding
eif3c	ENSELUG00000022257	protein_coding
nid1a	ENSELUG00000018845	protein_coding
pla2g12b	ENSELUG00000015559	protein_coding
ssbp3b	ENSELUG00000015566	protein_coding
myo9b	ENSELUG00000013827	protein_coding
c4	ENSELUG00000006742	protein_coding
	ENSELUG00000015550	protein_coding
copb2	ENSELUG00000021442	protein_coding
nox1	ENSELUG00000004029	protein_coding
wdfy1	ENSELUG00000014992	protein_coding
ccar1	ENSELUG00000022633	protein_coding
	ENSELUG00000015535	protein_coding
slit1b	ENSELUG00000019549	protein_coding
dio1	ENSELUG00000000574	protein_coding
slc6a5	ENSELUG00000010462	protein_coding
mcm3l	ENSELUG00000002112	protein_coding
	ENSELUG00000031958	protein_coding
glis1b	ENSELUG00000015485	protein_coding
acsl5	ENSELUG00000005610	protein_coding
PCP4	ENSELUG00000029251	protein_coding
zp2l2	ENSELUG00000006240	protein_coding
UNC13C	ENSELUG00000004616	protein_coding
elovl8b	ENSELUG00000015421	protein_coding
fam131a	ENSELUG00000006207	protein_coding
flj13639	ENSELUG00000014951	protein_coding
prdx3	ENSELUG00000000881	protein_coding
EPC1	ENSELUG00000007428	protein_coding
sh3bgr	ENSELUG00000018547	protein_coding
xkrx	ENSELUG00000004012	protein_coding
timp4.3	ENSELUG00000028743	protein_coding
c1ql3b	ENSELUG00000024207	protein_coding
slc7a6os	ENSELUG00000020417	protein_coding
pter	ENSELUG00000024191	protein_coding
	ENSELUG00000026765	protein_coding
	ENSELUG00000027879	lncRNA
sfxn4	ENSELUG00000020128	protein_coding
PPARG	ENSELUG00000013192	protein_coding
arl13a	ENSELUG00000004004	protein_coding
pgm2l1	ENSELUG00000016761	protein_coding
MUTYH	ENSELUG00000015402	protein_coding
tmem35	ENSELUG00000028892	protein_coding
adgrg3	ENSELUG00000020428	protein_coding
dennd10	ENSELUG00000020177	protein_coding
pkn2	ENSELUG00000018727	protein_coding
tsen2	ENSELUG00000013262	protein_coding
armh1	ENSELUG00000015352	protein_coding
cenpi	ENSELUG00000003973	protein_coding
	ENSELUG00000020444	protein_coding
	ENSELUG00000018496	protein_coding
frem2b	ENSELUG00000006617	protein_coding
mospd1	ENSELUG00000009629	protein_coding
mkrn2os.2	ENSELUG00000013278	protein_coding
dmap1	ENSELUG00000015323	protein_coding
rbp2b	ENSELUG00000021410	protein_coding
ABHD17C	ENSELUG00000024626	protein_coding
mkrn2os.1	ENSELUG00000013290	protein_coding
fam122b	ENSELUG00000009600	protein_coding
mkrn2	ENSELUG00000013320	protein_coding
rbp1.1	ENSELUG00000021393	protein_coding
mmp15b	ENSELUG00000000929	protein_coding
pde6gb	ENSELUG00000010750	protein_coding
OXLD1	ENSELUG00000010765	protein_coding
CUX1	ENSELUG00000033107	protein_coding
nmnat3	ENSELUG00000021366	protein_coding
	ENSELUG00000009563	snoRNA
gprc5c	ENSELUG00000010797	protein_coding
GET1	ENSELUG00000018486	protein_coding
rnf220b	ENSELUG00000015273	protein_coding
zgc:110319	ENSELUG00000022693	protein_coding
gpr142	ENSELUG00000025322	protein_coding
btbd17a	ENSELUG00000010902	protein_coding
pde10a	ENSELUG00000015533	protein_coding
SH2B2	ENSELUG00000009591	protein_coding
guk1b	ENSELUG00000015247	protein_coding
si:dkey-228d14.5	ENSELUG00000022728	protein_coding
dnajc30b	ENSELUG00000009576	protein_coding
	ENSELUG00000014895	protein_coding
cemip	ENSELUG00000024634	protein_coding
kcne4	ENSELUG00000014891	protein_coding
raf1b	ENSELUG00000013381	protein_coding
map2k6	ENSELUG00000010972	protein_coding
	ENSELUG00000006126	protein_coding
mmp16b	ENSELUG00000024178	protein_coding
eif4e1c	ENSELUG00000022791	protein_coding
bud23	ENSELUG00000009560	protein_coding
	ENSELUG00000015206	protein_coding
obscna	ENSELUG00000032028	protein_coding
JAK1	ENSELUG00000004988	protein_coding
tet1	ENSELUG00000022830	protein_coding
dhcr7	ENSELUG00000021170	protein_coding
	ENSELUG00000028750	protein_coding
phkg2	ENSELUG00000010321	protein_coding
	ENSELUG00000015164	protein_coding
slc25a16	ENSELUG00000001254	protein_coding
hprt1	ENSELUG00000001597	protein_coding
	ENSELUG00000029614	protein_coding
slc22a23	ENSELUG00000018595	protein_coding
si:ch73-193i2.2	ENSELUG00000016617	protein_coding
alox5a	ENSELUG00000022892	protein_coding
trpc4b	ENSELUG00000006559	protein_coding
zgc:153738	ENSELUG00000015101	protein_coding
	ENSELUG00000034646	protein_coding
eif3s10	ENSELUG00000020201	protein_coding
ppp4cb	ENSELUG00000022067	protein_coding
kcnj2a	ENSELUG00000010997	protein_coding
alkal1	ENSELUG00000015019	protein_coding
kcnj16	ENSELUG00000034171	protein_coding
march8	ENSELUG00000022913	protein_coding
	ENSELUG00000011014	protein_coding
si:dkey-30h22.11	ENSELUG00000014994	protein_coding
