Gene name	Gene stable ID	Gene type
zbtb37	ENSLOCG00000000232	protein_coding
	ENSLOCG00000000233	protein_coding
	ENSLOCG00000000234	protein_coding
alox5ap	ENSLOCG00000000235	protein_coding
foxn4	ENSLOCG00000000236	protein_coding
	ENSLOCG00000000237	protein_coding
	ENSLOCG00000000238	protein_coding
	ENSLOCG00000000239	protein_coding
	ENSLOCG00000000240	protein_coding
	ENSLOCG00000000241	protein_coding
	ENSLOCG00000000242	protein_coding
	ENSLOCG00000000243	protein_coding
	ENSLOCG00000000244	protein_coding
	ENSLOCG00000000245	protein_coding
	ENSLOCG00000000246	protein_coding
serpinc1	ENSLOCG00000000247	protein_coding
	ENSLOCG00000000248	protein_coding
	ENSLOCG00000000249	protein_coding
	ENSLOCG00000000250	protein_coding
ppiab	ENSLOCG00000000251	protein_coding
	ENSLOCG00000000252	protein_coding
	ENSLOCG00000000253	protein_coding
	ENSLOCG00000000254	protein_coding
	ENSLOCG00000000255	protein_coding
	ENSLOCG00000000256	protein_coding
	ENSLOCG00000000257	protein_coding
	ENSLOCG00000000258	protein_coding
si:ch211-284o19.8	ENSLOCG00000000259	protein_coding
	ENSLOCG00000000260	protein_coding
	ENSLOCG00000000261	protein_coding
	ENSLOCG00000000262	protein_coding
	ENSLOCG00000000263	protein_coding
	ENSLOCG00000000264	protein_coding
	ENSLOCG00000000265	protein_coding
	ENSLOCG00000000266	protein_coding
parp2	ENSLOCG00000000267	protein_coding
tspan37	ENSLOCG00000000268	protein_coding
	ENSLOCG00000000269	protein_coding
	ENSLOCG00000000270	protein_coding
	ENSLOCG00000000271	protein_coding
	ENSLOCG00000000272	protein_coding
	ENSLOCG00000000273	protein_coding
	ENSLOCG00000000274	protein_coding
nmbr	ENSLOCG00000000275	protein_coding
	ENSLOCG00000000276	protein_coding
	ENSLOCG00000000277	protein_coding
	ENSLOCG00000000278	protein_coding
rc3h1a	ENSLOCG00000000279	protein_coding
	ENSLOCG00000000280	protein_coding
si:dkey-61p9.11	ENSLOCG00000000281	protein_coding
	ENSLOCG00000000282	protein_coding
	ENSLOCG00000000283	protein_coding
elavl1b	ENSLOCG00000000284	protein_coding
	ENSLOCG00000000285	protein_coding
	ENSLOCG00000000286	protein_coding
	ENSLOCG00000000287	protein_coding
	ENSLOCG00000000288	protein_coding
	ENSLOCG00000000289	protein_coding
cx23	ENSLOCG00000000290	protein_coding
	ENSLOCG00000000291	protein_coding
	ENSLOCG00000000292	protein_coding
	ENSLOCG00000000293	protein_coding
wdr95	ENSLOCG00000000294	protein_coding
rcc1l	ENSLOCG00000000295	protein_coding
	ENSLOCG00000000296	protein_coding
	ENSLOCG00000000297	protein_coding
cep152	ENSLOCG00000000298	protein_coding
dbt	ENSLOCG00000000299	protein_coding
	ENSLOCG00000000300	protein_coding
	ENSLOCG00000000301	protein_coding
	ENSLOCG00000000302	protein_coding
	ENSLOCG00000000303	protein_coding
gypc	ENSLOCG00000000304	protein_coding
slc1a8b	ENSLOCG00000000305	protein_coding
	ENSLOCG00000000306	protein_coding
	ENSLOCG00000000307	protein_coding
	ENSLOCG00000000308	protein_coding
	ENSLOCG00000000309	protein_coding
	ENSLOCG00000000310	protein_coding
	ENSLOCG00000000311	protein_coding
	ENSLOCG00000000312	protein_coding
	ENSLOCG00000000313	protein_coding
	ENSLOCG00000000314	protein_coding
	ENSLOCG00000000315	protein_coding
lin7c	ENSLOCG00000000316	protein_coding
bpnt1	ENSLOCG00000000317	protein_coding
	ENSLOCG00000000318	protein_coding
	ENSLOCG00000000319	protein_coding
	ENSLOCG00000000320	protein_coding
	ENSLOCG00000000321	protein_coding
	ENSLOCG00000000322	protein_coding
zbtb8b	ENSLOCG00000000323	protein_coding
si:ch211-11k18.4	ENSLOCG00000000324	protein_coding
	ENSLOCG00000000325	protein_coding
	ENSLOCG00000000326	protein_coding
	ENSLOCG00000000327	protein_coding
	ENSLOCG00000000328	protein_coding
	ENSLOCG00000000329	protein_coding
	ENSLOCG00000000330	protein_coding
	ENSLOCG00000000331	protein_coding
	ENSLOCG00000000332	protein_coding
sema4ab	ENSLOCG00000000333	protein_coding
