"GOID"	"Direction"	"TERM"	"ONTOLOGY"	"MeanPvalue"	"MeanFDR"	"NConditions"	"EnrichmentTest"
"GO:0006367"	"Down"	"transcription initiation from RNA polymerase II promoter"	"BP"	0.000577672612633583	0.0211784787090939	3	"cameraPR"
"GO:0006378"	"Down"	"mRNA polyadenylation"	"BP"	0.000648824896347406	0.0240197624892693	1	"cameraPR"
"GO:0006397"	"Down"	"mRNA processing"	"BP"	0.00014264686506953	0.00788992000270359	7	"cameraPR"
"GO:0006399"	"Down"	"tRNA metabolic process"	"BP"	0.00307440253454217	0.0396937095918825	1	"cameraPR"
"GO:0006400"	"Down"	"tRNA modification"	"BP"	0.00370208479763689	0.0450573135437249	1	"cameraPR"
"GO:0006403"	"Down"	"RNA localization"	"BP"	0.000117313239303044	0.00494898176966793	1	"cameraPR"
"GO:0006405"	"Down"	"RNA export from nucleus"	"BP"	0.000219621246767897	0.00821428745643229	1	"cameraPR"
"GO:0006406"	"Down"	"mRNA export from nucleus"	"BP"	0.00234113127862698	0.0338391405532219	1	"cameraPR"
"GO:0006412"	"Down"	"translation"	"BP"	0.0013540374558615	0.0244132247029628	1	"cameraPR"
"GO:0006417"	"Down"	"regulation of translation"	"BP"	0.00200197304972584	0.031716848141508	1	"cameraPR"
"GO:0006473"	"Down"	"protein acetylation"	"BP"	0.000550943036518618	0.0184137266876892	2	"cameraPR"
"GO:0006475"	"Down"	"internal protein amino acid acetylation"	"BP"	0.00106205829180549	0.0284487985581939	2	"cameraPR"
"GO:0006505"	"Down"	"GPI anchor metabolic process"	"BP"	0.000735008731283413	0.0244643273128094	1	"cameraPR"
"GO:0006506"	"Down"	"GPI anchor biosynthetic process"	"BP"	0.000735008731283413	0.0244643273128094	1	"cameraPR"
"GO:0006511"	"Down"	"ubiquitin-dependent protein catabolic process"	"BP"	0.00135925485466509	0.0350181493763841	3	"cameraPR"
"GO:0006611"	"Down"	"protein export from nucleus"	"BP"	0.000254079934709085	0.00921802003124559	1	"cameraPR"
"GO:0006836"	"Down"	"neurotransmitter transport"	"BP"	0.000285446054823676	0.0138079771586706	1	"cameraPR"
"GO:0006886"	"Down"	"intracellular protein transport"	"BP"	0.00231404629735521	0.0338391405532219	1	"cameraPR"
"GO:0006888"	"Down"	"endoplasmic reticulum to Golgi vesicle-mediated transport"	"BP"	0.000100982787224822	0.0153433434485748	1	"cameraPR"
"GO:0006891"	"Down"	"intra-Golgi vesicle-mediated transport"	"BP"	0.000388753398514784	0.0171999674367273	1	"cameraPR"
"GO:0006892"	"Down"	"post-Golgi vesicle-mediated transport"	"BP"	0.0013543019113191	0.0409450611188807	1	"cameraPR"
"GO:0006904"	"Down"	"vesicle docking involved in exocytosis"	"BP"	0.000208267966814741	0.0103506326521079	1	"cameraPR"
"GO:0006906"	"Down"	"vesicle fusion"	"BP"	0.00040179127036231	0.0161966525430496	1	"cameraPR"
"GO:0006913"	"Down"	"nucleocytoplasmic transport"	"BP"	0.000388001444800715	0.0111558072950772	1	"cameraPR"
"GO:0007006"	"Down"	"mitochondrial membrane organization"	"BP"	0.00178989651617105	0.0484607803034969	1	"cameraPR"
"GO:0007007"	"Down"	"inner mitochondrial membrane organization"	"BP"	0.00115259467369057	0.0363618563143424	1	"cameraPR"
"GO:0007034"	"Down"	"vacuolar transport"	"BP"	0.000733960615668077	0.0308896336667476	1	"cameraPR"
"GO:0007059"	"Down"	"chromosome segregation"	"BP"	0.000201282490149006	0.0137342939767812	1	"cameraPR"
"GO:0007062"	"Down"	"sister chromatid cohesion"	"BP"	0.00193837892805751	0.0475353449757682	1	"cameraPR"
"GO:0007269"	"Down"	"neurotransmitter secretion"	"BP"	0.00135165448895586	0.0426417607472334	1	"cameraPR"
"GO:0007600"	"Down"	"sensory perception"	"BP"	0.00124661925938185	0.0383282599409945	1	"cameraPR"
"GO:0007601"	"Down"	"visual perception"	"BP"	0.00200953989479653	0.0259660393793004	2	"cameraPR"
"GO:0008021"	"Down"	"synaptic vesicle"	"CC"	0.000916479461843062	0.0336140196744654	2	"cameraPR"
"GO:0008023"	"Down"	"transcription elongation factor complex"	"CC"	0.00279492599680198	0.037501685280565	1	"cameraPR"
"GO:0008033"	"Down"	"tRNA processing"	"BP"	0.000396664592355281	0.0111558072950772	1	"cameraPR"
"GO:0008168"	"Down"	"methyltransferase activity"	"MF"	0.000434819073685379	0.0119509363585648	1	"cameraPR"
"GO:0008173"	"Down"	"RNA methyltransferase activity"	"MF"	0.00049426073338982	0.0129005607247357	1	"cameraPR"
"GO:0008175"	"Down"	"tRNA methyltransferase activity"	"MF"	0.00102316993710578	0.0203959369880208	1	"cameraPR"
"GO:0008380"	"Down"	"RNA splicing"	"BP"	8.83623389784303e-05	0.00530433214321159	5	"cameraPR"
"GO:0008757"	"Down"	"S-adenosylmethionine-dependent methyltransferase activity"	"MF"	0.00164375050640337	0.0279977785785513	1	"cameraPR"
"GO:0009451"	"Down"	"RNA modification"	"BP"	0.000682850839602535	0.0157795085737452	1	"cameraPR"
"GO:0010008"	"Down"	"endosome membrane"	"CC"	0.000977508954259828	0.0380720969525821	1	"cameraPR"
"GO:0010498"	"Down"	"proteasomal protein catabolic process"	"BP"	0.00181135632773814	0.0357013282192314	2	"cameraPR"
"GO:0010499"	"Down"	"proteasomal ubiquitin-independent protein catabolic process"	"BP"	0.00036782702880281	0.0185534208284969	2	"cameraPR"
"GO:0015931"	"Down"	"nucleobase-containing compound transport"	"BP"	0.000788861444970487	0.0173878309632225	1	"cameraPR"
"GO:0016071"	"Down"	"mRNA metabolic process"	"BP"	0.000398634359214528	0.0155798225026915	6	"cameraPR"
"GO:0016072"	"Down"	"rRNA metabolic process"	"BP"	0.00151751628111938	0.0329331569575621	3	"cameraPR"
"GO:0016197"	"Down"	"endosomal transport"	"BP"	0.000521970041902141	0.0253869314462164	2	"cameraPR"
"GO:0016226"	"Down"	"iron-sulfur cluster assembly"	"BP"	0.000534105504025677	0.0295622713542855	1	"cameraPR"
"GO:0016482"	"Down"	"cytosolic transport"	"BP"	0.000371088733399118	0.01682887405965	1	"cameraPR"
"GO:0016569"	"Down"	"covalent chromatin modification"	"BP"	0.000270092256761769	0.00936361057060678	1	"cameraPR"
"GO:0016570"	"Down"	"histone modification"	"BP"	0.000225296764936495	0.0083405781958123	1	"cameraPR"
"GO:0016573"	"Down"	"histone acetylation"	"BP"	0.000988607538325148	0.0287096553997446	2	"cameraPR"
"GO:0016591"	"Down"	"RNA polymerase II, holoenzyme"	"CC"	0.00114670140392068	0.0271530993914784	3	"cameraPR"
"GO:0016604"	"Down"	"nuclear body"	"CC"	0.000112801556959425	0.00494898176966793	1	"cameraPR"
"GO:0016607"	"Down"	"nuclear speck"	"CC"	0.000482867184256463	0.0170851623995	3	"cameraPR"
"GO:0016741"	"Down"	"transferase activity, transferring one-carbon groups"	"MF"	0.000477721455216974	0.0125592278226607	1	"cameraPR"
"GO:0017069"	"Down"	"snRNA binding"	"MF"	0.000401579214314286	0.0139491005505266	2	"cameraPR"
"GO:0017075"	"Down"	"syntaxin-1 binding"	"MF"	0.000639415343228029	0.0241645715128259	1	"cameraPR"
"GO:0018205"	"Down"	"peptidyl-lysine modification"	"BP"	0.000875730114847135	0.0253348637937359	3	"cameraPR"
"GO:0018393"	"Down"	"internal peptidyl-lysine acetylation"	"BP"	0.00106205829180549	0.0284487985581939	2	"cameraPR"
"GO:0018394"	"Down"	"peptidyl-lysine acetylation"	"BP"	0.00110985034130789	0.029249309142609	2	"cameraPR"
"GO:0019208"	"Down"	"phosphatase regulator activity"	"MF"	0.00236069891838047	0.0339865701423983	1	"cameraPR"
"GO:0019773"	"Down"	"proteasome core complex, alpha-subunit complex"	"CC"	0.00122743449565999	0.0421323413148844	1	"cameraPR"
"GO:0019941"	"Down"	"modification-dependent protein catabolic process"	"BP"	0.00185800218387302	0.0356391530854487	2	"cameraPR"
"GO:0022406"	"Down"	"membrane docking"	"BP"	0.00239958688775793	0.0347583514398525	2	"cameraPR"
"GO:0022613"	"Down"	"ribonucleoprotein complex biogenesis"	"BP"	0.000157343019229293	0.0116255164269109	3	"cameraPR"
"GO:0022618"	"Down"	"ribonucleoprotein complex assembly"	"BP"	0.000342394554675186	0.0127540519679692	3	"cameraPR"
"GO:0022624"	"Down"	"proteasome accessory complex"	"CC"	0.0010044220539063	0.0441661331259642	3	"cameraPR"
"GO:0030014"	"Down"	"CCR4-NOT complex"	"CC"	0.00232890341173193	0.0338391405532219	1	"cameraPR"
"GO:0030133"	"Down"	"transport vesicle"	"CC"	0.00065259509638583	0.0261430019510712	3	"cameraPR"
"GO:0030374"	"Down"	"nuclear receptor coactivator activity"	"MF"	0.00230621884172053	0.0338391405532219	1	"cameraPR"
"GO:0030488"	"Down"	"tRNA methylation"	"BP"	0.000298897082935888	0.00942955319036001	1	"cameraPR"
"GO:0030532"	"Down"	"small nuclear ribonucleoprotein complex"	"CC"	0.000229879553551159	0.0103393444034228	5	"cameraPR"
"GO:0030658"	"Down"	"transport vesicle membrane"	"CC"	0.0013586012241156	0.0421521831681116	2	"cameraPR"
"GO:0030684"	"Down"	"preribosome"	"CC"	0.00114456940888922	0.0289559088520585	2	"cameraPR"
"GO:0030880"	"Down"	"RNA polymerase complex"	"CC"	0.000840068623013692	0.0180341358833945	1	"cameraPR"
"GO:0031123"	"Down"	"RNA 3'-end processing"	"BP"	0.000695505076332304	0.0186803832508241	3	"cameraPR"
"GO:0031124"	"Down"	"mRNA 3'-end processing"	"BP"	0.000617782048336169	0.0205119028139882	1	"cameraPR"
"GO:0031163"	"Down"	"metallo-sulfur cluster assembly"	"BP"	0.000534105504025677	0.0295622713542855	1	"cameraPR"
"GO:0031248"	"Down"	"protein acetyltransferase complex"	"CC"	0.000392878688701804	0.0196301478322766	4	"cameraPR"
"GO:0031519"	"Down"	"PcG protein complex"	"CC"	0.0021085915770367	0.0452660961034861	1	"cameraPR"
"GO:0031902"	"Down"	"late endosome membrane"	"CC"	0.000315019070439487	0.0178244918810171	5	"cameraPR"
"GO:0031985"	"Down"	"Golgi cisterna"	"CC"	0.000210774665687321	0.0193055621973851	1	"cameraPR"
"GO:0032040"	"Down"	"small-subunit processome"	"CC"	0.00250232518925617	0.035340078582797	1	"cameraPR"
"GO:0032259"	"Down"	"methylation"	"BP"	0.000168139421242382	0.00670340461832265	1	"cameraPR"
"GO:0032451"	"Down"	"demethylase activity"	"MF"	0.000391184209859897	0.0111558072950772	1	"cameraPR"
"GO:0032452"	"Down"	"histone demethylase activity"	"MF"	0.00253843693344657	0.035340078582797	1	"cameraPR"
"GO:0032509"	"Down"	"endosome transport via multivesicular body sorting pathway"	"BP"	0.000369810656963084	0.032471173895323	2	"cameraPR"
"GO:0032580"	"Down"	"Golgi cisterna membrane"	"CC"	0.000752275451851626	0.0344970778609627	1	"cameraPR"
"GO:0033178"	"Down"	"proton-transporting two-sector ATPase complex, catalytic domain"	"CC"	0.000603522801365276	0.0295109391867908	2	"cameraPR"
"GO:0033365"	"Down"	"protein localization to organelle"	"BP"	0.00345470325109159	0.0432682783456453	1	"cameraPR"
"GO:0034212"	"Down"	"peptide N-acetyltransferase activity"	"MF"	0.000461679273016774	0.0293854807456992	1	"cameraPR"
"GO:0034248"	"Down"	"regulation of cellular amide metabolic process"	"BP"	0.00372178456523823	0.0450573135437249	1	"cameraPR"
"GO:0034470"	"Down"	"ncRNA processing"	"BP"	0.000164634023745013	0.0119034471875976	3	"cameraPR"
"GO:0034660"	"Down"	"ncRNA metabolic process"	"BP"	0.000910672742378128	0.0326929797590865	3	"cameraPR"
"GO:0034708"	"Down"	"methyltransferase complex"	"CC"	0.000538055212414086	0.0171907920799038	2	"cameraPR"
"GO:0035097"	"Down"	"histone methyltransferase complex"	"CC"	0.000882694332018704	0.0239748425977677	2	"cameraPR"
"GO:0035267"	"Down"	"NuA4 histone acetyltransferase complex"	"CC"	0.00161210127420213	0.0372528880433461	1	"cameraPR"
"GO:0036503"	"Down"	"ERAD pathway"	"BP"	0.0011958961729753	0.0364962438143378	2	"cameraPR"
"GO:0038202"	"Down"	"TORC1 signaling"	"BP"	0.000793793558403004	0.0279600294163699	1	"cameraPR"
"GO:0042147"	"Down"	"retrograde transport, endosome to Golgi"	"BP"	0.000219229757580032	0.0107481832500048	1	"cameraPR"
"GO:0042254"	"Down"	"ribosome biogenesis"	"BP"	0.00104966174400345	0.0311806548106902	3	"cameraPR"
"GO:0043043"	"Down"	"peptide biosynthetic process"	"BP"	0.00156918358096145	0.0269810333257258	1	"cameraPR"
"GO:0043044"	"Down"	"ATP-dependent chromatin remodeling"	"BP"	0.000621915465694241	0.0205119028139882	1	"cameraPR"
"GO:0043161"	"Down"	"proteasome-mediated ubiquitin-dependent protein catabolic process"	"BP"	0.00220651938069722	0.0333040351142518	1	"cameraPR"
"GO:0043189"	"Down"	"H4/H2A histone acetyltransferase complex"	"CC"	0.00161210127420213	0.0372528880433461	1	"cameraPR"
"GO:0043277"	"Down"	"apoptotic cell clearance"	"BP"	0.00109074770221159	0.0363048868222354	1	"cameraPR"
"GO:0043414"	"Down"	"macromolecule methylation"	"BP"	0.00121286504535897	0.0231593388661176	1	"cameraPR"
"GO:0043631"	"Down"	"RNA polyadenylation"	"BP"	0.000865787529833003	0.0299150205546108	1	"cameraPR"
"GO:0043632"	"Down"	"modification-dependent macromolecule catabolic process"	"BP"	0.00170368353783931	0.0335121975339809	2	"cameraPR"
"GO:0044257"	"Down"	"cellular protein catabolic process"	"BP"	0.00316836538002793	0.0480045977662586	2	"cameraPR"
"GO:0044265"	"Down"	"cellular macromolecule catabolic process"	"BP"	0.00306359581267225	0.0396937095918825	1	"cameraPR"
"GO:0044391"	"Down"	"ribosomal subunit"	"CC"	0.00208173865779791	0.04041969004501	2	"cameraPR"
"GO:0044769"	"Down"	"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism"	"MF"	0.00162071607953825	0.0451112591232279	1	"cameraPR"
"GO:0045324"	"Down"	"late endosome to vacuole transport"	"BP"	0.00056908523003477	0.0220082876486915	1	"cameraPR"
"GO:0046540"	"Down"	"U4/U6 x U5 tri-snRNP complex"	"CC"	0.000524642512401642	0.0165621832779793	2	"cameraPR"
"GO:0046961"	"Down"	"proton-transporting ATPase activity, rotational mechanism"	"MF"	0.00162071607953825	0.0451112591232279	1	"cameraPR"
"GO:0048024"	"Down"	"regulation of mRNA splicing, via spliceosome"	"BP"	0.00270827662929355	0.0368001034122734	1	"cameraPR"
"GO:0048193"	"Down"	"Golgi vesicle transport"	"BP"	0.00136330291465931	0.0273228203900911	2	"cameraPR"
"GO:0048278"	"Down"	"vesicle docking"	"BP"	0.000455944225742332	0.0178584764014964	2	"cameraPR"
"GO:0048284"	"Down"	"organelle fusion"	"BP"	0.00158467855262185	0.04166096948487	1	"cameraPR"
"GO:0050657"	"Down"	"nucleic acid transport"	"BP"	7.51080488958017e-05	0.00373276714238313	1	"cameraPR"
"GO:0050658"	"Down"	"RNA transport"	"BP"	7.51080488958017e-05	0.00373276714238313	1	"cameraPR"
"GO:0050684"	"Down"	"regulation of mRNA processing"	"BP"	0.00145996051565852	0.0360386033130628	3	"cameraPR"
"GO:0050806"	"Down"	"positive regulation of synaptic transmission"	"BP"	0.00158501543083639	0.0483914552239113	1	"cameraPR"
"GO:0050953"	"Down"	"sensory perception of light stimulus"	"BP"	0.00161997639600501	0.031567690819906	3	"cameraPR"
"GO:0051028"	"Down"	"mRNA transport"	"BP"	0.000660449776934568	0.0155857377403471	1	"cameraPR"
"GO:0051168"	"Down"	"nuclear export"	"BP"	9.08815492811615e-05	0.0043383981683165	1	"cameraPR"
"GO:0051169"	"Down"	"nuclear transport"	"BP"	0.000388001444800715	0.0111558072950772	1	"cameraPR"
"GO:0051205"	"Down"	"protein insertion into membrane"	"BP"	0.00131456983937872	0.0320084521964161	1	"cameraPR"
"GO:0051225"	"Down"	"spindle assembly"	"BP"	0.000621380556694068	0.0148990295326998	1	"cameraPR"
"GO:0051236"	"Down"	"establishment of RNA localization"	"BP"	7.51080488958017e-05	0.00373276714238313	1	"cameraPR"
"GO:0051276"	"Down"	"chromosome organization"	"BP"	0.00233999794326237	0.0427003098302648	2	"cameraPR"
"GO:0051603"	"Down"	"proteolysis involved in cellular protein catabolic process"	"BP"	0.00247534619403	0.049590990062365	1	"cameraPR"
"GO:0051606"	"Down"	"detection of stimulus"	"BP"	0.000323268446295764	0.0239350596563476	1	"cameraPR"
"GO:0051875"	"Down"	"pigment granule localization"	"BP"	0.00374969419897509	0.0450573135437249	1	"cameraPR"
"GO:0055029"	"Down"	"nuclear DNA-directed RNA polymerase complex"	"CC"	0.00167796997113673	0.0342587972205326	2	"cameraPR"
"GO:0061640"	"Down"	"cytoskeleton-dependent cytokinesis"	"BP"	5.33112894757461e-05	0.0104440465925945	1	"cameraPR"
"GO:0061733"	"Down"	"peptide-lysine-N-acetyltransferase activity"	"MF"	0.00118250701701539	0.0451593206077034	1	"cameraPR"
"GO:0070382"	"Down"	"exocytic vesicle"	"CC"	0.00164743489068443	0.0493958163917613	1	"cameraPR"
"GO:0070534"	"Down"	"protein K63-linked ubiquitination"	"BP"	0.000777180929497683	0.0226822883655421	2	"cameraPR"
"GO:0070603"	"Down"	"SWI/SNF superfamily-type complex"	"CC"	0.00179161534741289	0.0220510920554178	2	"cameraPR"
"GO:0071011"	"Down"	"precatalytic spliceosome"	"CC"	0.00216573110417862	0.0330878799491675	1	"cameraPR"
"GO:0071013"	"Down"	"catalytic step 2 spliceosome"	"CC"	0.000508345464709328	0.0188384392209687	4	"cameraPR"
"GO:0071166"	"Down"	"ribonucleoprotein complex localization"	"BP"	0.000542996649465275	0.0138731820018311	1	"cameraPR"
"GO:0071426"	"Down"	"ribonucleoprotein complex export from nucleus"	"BP"	0.00068081301619535	0.0157795085737452	1	"cameraPR"
"GO:0071427"	"Down"	"mRNA-containing ribonucleoprotein complex export from nucleus"	"BP"	0.00234113127862698	0.0338391405532219	1	"cameraPR"
"GO:0071826"	"Down"	"ribonucleoprotein complex subunit organization"	"BP"	0.000237750447937373	0.0103419590989706	3	"cameraPR"
"GO:0071985"	"Down"	"multivesicular body sorting pathway"	"BP"	0.000369810656963084	0.032471173895323	2	"cameraPR"
"GO:0072546"	"Down"	"EMC complex"	"CC"	0.00165377223305577	0.0379739598830781	1	"cameraPR"
"GO:0090174"	"Down"	"organelle membrane fusion"	"BP"	0.000285160418661916	0.0125707174714015	1	"cameraPR"
"GO:0097346"	"Down"	"INO80-type complex"	"CC"	0.000564443438689548	0.012825972238027	2	"cameraPR"
"GO:0097525"	"Down"	"spliceosomal snRNP complex"	"CC"	0.000130678932904498	0.00743806818521302	5	"cameraPR"
"GO:0097526"	"Down"	"spliceosomal tri-snRNP complex"	"CC"	0.00063505900523	0.0162418698335521	2	"cameraPR"
"GO:0097730"	"Down"	"non-motile cilium"	"CC"	0.00168906471304317	0.0464236877190955	1	"cameraPR"
"GO:0097731"	"Down"	"9+0 non-motile cilium"	"CC"	0.000468499185845278	0.020234702931508	1	"cameraPR"
"GO:0097733"	"Down"	"photoreceptor cell cilium"	"CC"	0.000526622704127211	0.0219016146691615	1	"cameraPR"
"GO:0098687"	"Down"	"chromosomal region"	"CC"	0.000110563372194789	0.00911645259824306	1	"cameraPR"
"GO:0098793"	"Down"	"presynapse"	"CC"	0.0010308951550582	0.0349645941401745	1	"cameraPR"
"GO:0098852"	"Down"	"lytic vacuole membrane"	"CC"	0.00138785394176492	0.0457739463702102	1	"cameraPR"
"GO:0098876"	"Down"	"vesicle-mediated transport to the plasma membrane"	"BP"	0.00186791609081469	0.0473902068354944	1	"cameraPR"
"GO:0099023"	"Down"	"vesicle tethering complex"	"CC"	0.000747940053100117	0.0280940994044634	6	"cameraPR"
"GO:0099503"	"Down"	"secretory vesicle"	"CC"	0.000602180073353611	0.0292525084593672	2	"cameraPR"
"GO:0099643"	"Down"	"signal release from synapse"	"BP"	0.00135165448895586	0.0426417607472334	1	"cameraPR"
"GO:0120114"	"Down"	"Sm-like protein family complex"	"CC"	0.000279362951367594	0.0112831071484044	5	"cameraPR"
"GO:0140014"	"Down"	"mitotic nuclear division"	"BP"	0.00137337693266599	0.0377470569069108	1	"cameraPR"
"GO:0140029"	"Down"	"exocytic process"	"BP"	0.000483780420336681	0.018475319631384	1	"cameraPR"
"GO:0140053"	"Down"	"mitochondrial gene expression"	"BP"	0.00356719654278102	0.0440196906707808	1	"cameraPR"
"GO:0140056"	"Down"	"organelle localization by membrane tethering"	"BP"	0.00239958688775793	0.0347583514398525	2	"cameraPR"
"GO:0140098"	"Down"	"catalytic activity, acting on RNA"	"MF"	0.0030387891841413	0.0396572919426785	1	"cameraPR"
"GO:0140457"	"Down"	"protein demethylase activity"	"MF"	0.00253843693344657	0.035340078582797	1	"cameraPR"
"GO:0140535"	"Down"	"intracellular protein-containing complex"	"CC"	0.000253620232920709	0.0164022765349811	4	"cameraPR"
"GO:1901888"	"Down"	"regulation of cell junction assembly"	"BP"	0.00110505430795569	0.0292864671001894	1	"cameraPR"
"GO:1902493"	"Down"	"acetyltransferase complex"	"CC"	0.000392878688701804	0.0196301478322766	4	"cameraPR"
"GO:1902562"	"Down"	"H4 histone acetyltransferase complex"	"CC"	0.000461213427367483	0.0196264179193996	2	"cameraPR"
"GO:1903320"	"Down"	"regulation of protein modification by small protein conjugation or removal"	"BP"	0.00103981762116721	0.0414555860395016	1	"cameraPR"
"GO:1904949"	"Down"	"ATPase complex"	"CC"	0.00095824442406831	0.0153673968982643	2	"cameraPR"
"GO:1905368"	"Down"	"peptidase complex"	"CC"	0.000259752764188337	0.0142798607924526	2	"cameraPR"
"GO:1905369"	"Down"	"endopeptidase complex"	"CC"	2.94584264924622e-05	0.00343617788717041	2	"cameraPR"
"GO:1990234"	"Down"	"transferase complex"	"CC"	0.00185303805451689	0.0365112778821699	2	"cameraPR"
"GO:1990778"	"Down"	"protein localization to cell periphery"	"BP"	0.000499732717989316	0.0485636764896375	1	"cameraPR"
"GO:1990904"	"Down"	"ribonucleoprotein complex"	"CC"	0.00111788235530693	0.0295144894007565	4	"cameraPR"
"GO:2000779"	"Down"	"regulation of double-strand break repair"	"BP"	0.000455176612791107	0.0306144295618697	1	"cameraPR"
