"Species"	"Bias"	"Tissue"	"Sex"	".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"	"Mean_MeanVarRank_Foreground"	"SD_MeanVarRank_Foreground"	"Mean_MeanVarRank_Other"	"SD_MeanVarRank_Other"	"DiffMeans_MeanVarRank"	"GlassDelta"
"Danio_rerio"	"intestine"	"pectoral_fin"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	1.18997378849049e-08	2.6e-08	"1.2e-08"	"****"	"Wilcoxon"	0.580494415049971	0.277858345014432	0.519707511341638	0.277834419078478	0.0607869037083324	0.21878824052812
"Danio_rerio"	"intestine"	"pectoral_fin"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	8.20746800451708e-09	1.8e-08	"8.2e-09"	"****"	"Wilcoxon"	0.575454728300619	0.276651713797436	0.512616051331782	0.28170473727927	0.0628386769688368	0.223065744565528
"Danio_rerio"	"intestine"	"ovary"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	1.50479906051301e-06	2.7e-06	"1.5e-06"	"****"	"Wilcoxon"	0.548472439305334	0.273694112010626	0.489528730798312	0.276902730962591	0.0589437085070222	0.212867920450324
"Danio_rerio"	"intestine"	"ovary"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"intestine"	"testis"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"intestine"	"testis"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	2.3477959856698e-12	7.4e-12	"2.3e-12"	"****"	"Wilcoxon"	0.567523470280501	0.276834740474429	0.49821182495085	0.274282776060525	0.0693116453296509	0.252701413939154
"Danio_rerio"	"liver"	"brain"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.00312262448880637	0.0044	"0.00312"	"**"	"Wilcoxon"	0.535778223822961	0.282174728412401	0.501869539925235	0.28428611314688	0.0339086838977254	0.119276610181117
"Danio_rerio"	"liver"	"brain"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.0199731723376491	0.027	"0.01997"	"*"	"Wilcoxon"	0.510850454442871	0.2820480396524	0.484241084617759	0.273980333712974	0.0266093698251122	0.0971214592832365
"Danio_rerio"	"liver"	"eye"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	9.76958667943624e-06	1.7e-05	"9.8e-06"	"****"	"Wilcoxon"	0.568241106435597	0.288876280548224	0.517314803154376	0.277526697298764	0.0509263032812205	0.183500556079465
"Danio_rerio"	"liver"	"eye"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.0349323265201622	0.045	"0.03493"	"*"	"Wilcoxon"	0.536025501437266	0.287908173622996	0.511981803361663	0.279639142913251	0.0240436980756027	0.0859811606669867
"Danio_rerio"	"liver"	"intestine"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	1.36048401587564e-39	1.2e-38	"< 2e-16"	"****"	"Wilcoxon"	0.665771829721759	0.255871699940971	0.521522059547137	0.279868689018123	0.144249770174622	0.515419465752674
"Danio_rerio"	"liver"	"intestine"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	1.12254326687827e-93	1.1e-91	"< 2e-16"	"****"	"Wilcoxon"	0.723088678451178	0.263408412215381	0.49776187160822	0.274850783541791	0.225326806842958	0.819815042690961
"Danio_rerio"	"liver"	"liver"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"liver"	"liver"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"liver"	"gills"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.0237968867014844	0.031	"0.02380"	"*"	"Wilcoxon"	0.53669387203828	0.265989058761388	0.512408213796196	0.267237403339616	0.0242856582420842	0.0908767183732174
"Danio_rerio"	"liver"	"gills"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.000156646400536635	0.00024	"0.00016"	"***"	"Wilcoxon"	0.546588870287698	0.282220683774395	0.503716898312669	0.274928251908841	0.042871971975029	0.155938764668115
"Danio_rerio"	"liver"	"pectoral_fin"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.165304242087157	0.2	"0.16530"	"ns"	"Wilcoxon"	0.540643358323722	0.2748081103231	0.523907346184889	0.278602993322912	0.0167360121388331	0.0600711856653867
"Danio_rerio"	"liver"	"pectoral_fin"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	5.96706079852204e-23	2.9e-22	"< 2e-16"	"****"	"Wilcoxon"	0.625512049775229	0.288698552190928	0.509696886679299	0.279547739869517	0.115815163095931	0.414294757489326
"Danio_rerio"	"liver"	"ovary"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.0149612410557253	0.02	"0.01496"	"*"	"Wilcoxon"	0.521994445313722	0.289970223865294	0.49251764230248	0.275441693088172	0.0294768030112424	0.107016489336661
"Danio_rerio"	"liver"	"ovary"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"liver"	"testis"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"liver"	"testis"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"liver"	0.000679387217100371	0.00099	"0.00068"	"***"	"Wilcoxon"	0.537523681515617	0.273888634966223	0.501938086193381	0.275206723585805	0.0355855953222356	0.129304963405593
"Danio_rerio"	"ovary"	"brain"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	1.98002001079602e-36	1.5e-35	"< 2e-16"	"****"	"Wilcoxon"	0.442126127030889	0.267541252175802	0.530347394597659	0.286927748255924	-0.0882212675667696	-0.307468580864061
"Danio_rerio"	"ovary"	"brain"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	7.28028590193816e-08	1.5e-07	"7.3e-08"	"****"	"Wilcoxon"	0.459894212901936	0.266914499522903	0.497435247755786	0.277187556273033	-0.0375410348538506	-0.135435498471195
"Danio_rerio"	"ovary"	"eye"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	3.12762874851755e-49	6.1e-48	"< 2e-16"	"****"	"Wilcoxon"	0.444823222916658	0.265530293615809	0.546151732183853	0.278283710025475	-0.101328509267194	-0.364119442197743
"Danio_rerio"	"ovary"	"eye"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	5.61802780013287e-27	3.1e-26	"< 2e-16"	"****"	"Wilcoxon"	0.458354329101523	0.271616934778706	0.531882982368746	0.28071425331155	-0.0735286532672237	-0.261934164011323
"Danio_rerio"	"ovary"	"intestine"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	7.2098703678991e-80	3.5e-78	"< 2e-16"	"****"	"Wilcoxon"	0.624825745611325	0.265761334615738	0.493414887312757	0.277946875188551	0.131410858298568	0.472791277863523
"Danio_rerio"	"ovary"	"intestine"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	4.25518115305439e-23	2.2e-22	"< 2e-16"	"****"	"Wilcoxon"	0.470317656628042	0.265225399389554	0.541880365990294	0.286203629159644	-0.071562709362252	-0.250041236627137
"Danio_rerio"	"ovary"	"liver"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	3.63642938305838e-05	5.9e-05	"3.6e-05"	"****"	"Wilcoxon"	0.536138706508054	0.275761500502946	0.496724892479368	0.282729487243043	0.0394138140286865	0.139404681177825
"Danio_rerio"	"ovary"	"liver"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	0.858138625186537	0.87	"0.85814"	"ns"	"Wilcoxon"	0.51519692942888	0.268482066479565	0.516237281077225	0.28344291712437	-0.0010403516483446	-0.00367040975621947
"Danio_rerio"	"ovary"	"gills"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	4.01826950448364e-44	5.2e-43	"< 2e-16"	"****"	"Wilcoxon"	0.447661209439528	0.254691889144538	0.539767861181107	0.267509498965976	-0.0921066517415794	-0.344311705182829
"Danio_rerio"	"ovary"	"gills"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	4.81708174694065e-38	3.9e-37	"< 2e-16"	"****"	"Wilcoxon"	0.444465652085245	0.257152419982142	0.530700902545263	0.27880198882877	-0.0862352504600177	-0.309306439391938
"Danio_rerio"	"ovary"	"pectoral_fin"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	2.12034800956842e-09	5.2e-09	"2.1e-09"	"****"	"Wilcoxon"	0.55601961890299	0.273669927978892	0.513860588610134	0.279211127822047	0.0421590302928559	0.15099337415995
"Danio_rerio"	"ovary"	"pectoral_fin"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	7.95542527645408e-12	2.4e-11	"8.0e-12"	"****"	"Wilcoxon"	0.483175082211817	0.274820819342015	0.530592616494328	0.283246321065548	-0.0474175342825114	-0.167407414522211
"Danio_rerio"	"ovary"	"ovary"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"ovary"	"ovary"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"ovary"	"testis"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"ovary"	"testis"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"ovary"	8.87672586923407e-29	5.1e-28	"< 2e-16"	"****"	"Wilcoxon"	0.455538731482441	0.264099048509417	0.525082864136213	0.27721654360619	-0.0695441326537727	-0.25086573748126
"Danio_rerio"	"pectoral_fin"	"brain"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	0.160985065930031	0.19	"0.16099"	"ns"	"Wilcoxon"	0.523629684238118	0.278189495971548	0.503648799585954	0.284556758028203	0.0199808846521639	0.0702175720254146
"Danio_rerio"	"pectoral_fin"	"brain"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	0.787041989185424	0.81	"0.78704"	"ns"	"Wilcoxon"	0.481309440016653	0.266464372694606	0.486707629216686	0.27519838414601	-0.00539818920003321	-0.0196156282559026
"Danio_rerio"	"pectoral_fin"	"eye"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	4.26265403492498e-44	5.2e-43	"< 2e-16"	"****"	"Wilcoxon"	0.683922160379303	0.268354319123474	0.510448986611471	0.276021074685403	0.173473173767832	0.628478002868257
"Danio_rerio"	"pectoral_fin"	"eye"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	2.21090764967175e-40	2.2e-39	"< 2e-16"	"****"	"Wilcoxon"	0.669072616407982	0.274933998936152	0.50386756122516	0.277726830453963	0.165205055182822	0.594847299818974
"Danio_rerio"	"pectoral_fin"	"intestine"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	0.00407908539975041	0.0056	"0.00408"	"**"	"Wilcoxon"	0.4964593709755	0.262471801421704	0.537182515230894	0.281660734879436	-0.0407231442553944	-0.144582255218591
"Danio_rerio"	"pectoral_fin"	"intestine"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	1.26680366798947e-05	2.1e-05	"1.3e-05"	"****"	"Wilcoxon"	0.583028092578906	0.269002044512273	0.517106851695313	0.282308794738198	0.0659212408835923	0.233507570831171
"Danio_rerio"	"pectoral_fin"	"liver"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	0.000714034554680506	0.001	"0.00071"	"***"	"Wilcoxon"	0.441208546318716	0.27308687115145	0.514079060081333	0.280849156247944	-0.0728705137626171	-0.259464955266892
"Danio_rerio"	"pectoral_fin"	"liver"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	0.000383647281306048	0.00058	"0.00038"	"***"	"Wilcoxon"	0.460389766357588	0.269862190093076	0.518678263075722	0.279121202000176	-0.0582884967181339	-0.208828624627724
"Danio_rerio"	"pectoral_fin"	"gills"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	2.30893680426345e-46	3.8e-45	"< 2e-16"	"****"	"Wilcoxon"	0.676096210857884	0.24649687724862	0.503359354943233	0.265029959345354	0.17273685591465	0.651763507572219
"Danio_rerio"	"pectoral_fin"	"gills"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"pectoral_fin"	1.53785888754584e-33	1.1e-32	"< 2e-16"	"****"	"Wilcoxon"	0.648322820136404	0.271709752409696	0.497735439598788	0.273449601690093	0.150587380537616	0.550695190656305
"Danio_rerio"	"pectoral_fin"	"pectoral_fin"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
