Gene_id	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
ENSLOCG00000001704	0	0	0	0	0	1	0	0	0	43	27	11	0	0	0	1	0	1	0	0	0	45	12	30	1	0	2	0	0	0	0	0	0	76	28	23	0	0	0	1	0	0	0	0	0	28	32	11	0	2	0	2	1	0	0	0	0	15	17	14	0	0	0	0	0	0	0	0	0	31	11	19	0	0	1	0	1	0	0	0	0	24	57	71	0	0	0	0	0	0	0	0	0	35	13	1
ENSLOCG00000001705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000001706	0	1	0	1	0	0	1	0	0	208	48	27	0	0	0	1	1	2	0	0	0	103	32	59	0	0	0	0	0	0	0	0	0	46	13	38	2	1	0	0	0	0	0	0	0	5	14	20	0	1	0	0	0	0	0	0	0	14	32	11	2	0	0	0	0	0	0	0	0	37	14	41	0	0	0	0	0	0	0	0	0	30	59	33	0	2	0	0	1	0	0	0	0	32	5	8
ENSLOCG00000001707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000001708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000001709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSLOCG00000001710	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
ENSLOCG00000001711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000001712	0	0	0	1	1	0	0	0	0	76	18	11	0	0	0	1	0	0	0	0	0	19	4	35	0	0	1	0	0	0	0	0	0	67	20	34	0	0	0	0	1	3	0	0	0	6	14	11	0	0	0	0	0	0	0	0	0	8	13	17	0	0	0	0	0	0	0	0	0	18	9	1	1	0	0	0	1	0	0	0	0	39	56	29	1	0	0	0	0	0	0	0	0	29	14	7
ENSLOCG00000001713	0	0	0	0	0	0	0	0	0	5	5	7	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	1	1	9	0	0	0	0	0	0	0	0	0	1	13	7	0	0	0	1	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	4	5	57	0	0	0	0	0	0	0	0	0	4	2	3
