Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSLOCG00000013802	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	20	9	0	13	5	0	0	14	0	20	1	0	0	0	0	1	0	1	0	0	6	36	0	0	59	21	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	0	0	14	9	0	0	3	6	0	4	0	0	0	0	28	0	0	0	0	7	0	0	1	0	0	0	51	0	0	0	22	0
ENSLOCG00000013803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSLOCG00000013804	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	2	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSLOCG00000013805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013806	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	1	34	0	0	0	0	0	88	25	0	30	14	0	0	34	0	89	13	0	0	0	1	0	0	0	0	0	16	68	0	0	79	46	0	0	0	0	0	0	0	0	0	0	50	0	1	0	0	0	0	51	26	0	0	6	31	0	6	0	0	0	0	45	0	1	1	0	9	0	0	8	0	1	0	177	0	0	1	52	0
ENSLOCG00000013807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013808	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0
ENSLOCG00000013809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013810	0	0	3	0	0	126	0	1	0	0	0	0	0	0	2	1	1	78	0	1	1	0	0	175	79	0	150	64	0	2	188	0	26	6	2	0	0	0	1	0	0	2	0	71	932	0	0	128	109	0	2	0	0	0	0	2	0	0	0	90	2	0	6	0	1	0	157	80	3	0	6	62	0	5	1	0	0	0	85	3	1	1	0	36	0	0	14	0	7	0	82	0	0	3	55	0
ENSLOCG00000013811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSLOCG00000013813	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	55	2	0	1	2	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	4	2	0	0	11	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	13	0	0	6	28	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSLOCG00000013814	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	2	0	2	6	0	0	0	0	0	0	0	0	0	0	3	0	0	20	8	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	0	6	1	0	2	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0
ENSLOCG00000013815	0	0	0	1	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	3	3	0	0	3	0	4	1	0	0	0	0	0	0	0	0	0	0	6	0	0	4	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	4	0
