Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000006167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006170	0	33	72	99	0	0	6	59	0	0	0	0	24	4	49	24	56	0	23	26	62	0	0	2	0	0	0	1	47	35	0	0	0	0	233	1	10	44	0	0	22	54	0	0	0	0	0	1	0	120	87	18	0	3	3	107	69	0	0	0	43	44	34	9	18	0	0	0	31	46	0	0	88	0	35	0	0	0	0	92	86	44	63	0	2	0	0	0	25	35	0	0	3	125	0	30
ENSELUG00000006171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006172	0	3	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	3	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	1	0	14	0	0	0	0	0	1	2	0	0	13	0	0	0	0	0	0	1	8	1	2	0	0	0	0	0	0	1	0	0	0	4	0	0
ENSELUG00000006173	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006176	0	3	0	48	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	15	0	0	0	0	0	0	0	1	2	0	0	0	0	10	1	0	4	0	0	2	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	6	81	0	0	0	0	0	0	2	2	0	0	2	41	0	0
ENSELUG00000006177	0	0	2	5	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	2	1	0	0	0	5	0	0
ENSELUG00000006178	0	10	9	12	0	0	1	21	0	0	0	0	5	3	12	4	5	0	12	3	14	0	0	0	0	0	0	0	3	13	0	0	0	0	46	0	4	12	1	0	5	19	0	0	0	0	0	0	1	34	6	5	0	0	0	18	15	0	0	0	7	2	4	3	1	0	1	0	6	6	0	0	25	0	2	0	0	0	0	19	17	23	5	0	0	0	0	0	4	1	0	0	0	19	0	1
